City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,arica,-18.475,-70.3042,73.63,73,0,0.0,CL,2023-02-06 10:49:12
174,shakawe,-18.3667,21.85,85.5,46,94,3.62,BW,2023-02-06 10:52:43
175,caapora,-7.5156,-34.9083,77.36,73,63,7.47,BR,2023-02-06 10:52:44
176,mahibadhoo,3.7833,72.9667,81.81,70,95,9.6,MV,2023-02-06 10:52:44
177,san cristobal,7.7669,-72.225,66.38,77,66,4.12,VE,2023-02-06 10:52:44
178,nome,64.5011,-165.4064,10.47,72,0,9.22,US,2023-02-06 10:52:45
179,pacific grove,36.6177,-121.9166,45.7,87,0,5.75,US,2023-02-06 10:52:45
180,izumo,35.3667,132.7667,44.55,81,75,5.75,JP,2023-02-06 10:52:46
181,port hardy,50.6996,-127.4199,42.98,93,100,10.36,CA,2023-02-06 10:52:46
182,vila velha,-20.3297,-40.2925,79.95,85,0,16.11,BR,2023-02-06 10:52:46
183,derzhavinsk,51.1,66.3167,15.04,94,97,9.91,KZ,2023-02-06 10:52:47
184,losone,46.1687,8.7593,43.45,78,75,1.14,CH,2023-02-06 10:52:47
185,tierra blanca,14.5833,-88.5833,60.62,94,98,3.53,HN,2023-02-06 10:52:48
186,coaticook,45.1334,-71.7991,33.08,99,100,1.45,CA,2023-02-06 10:52:48
187,bengkulu,-3.8004,102.2655,80.92,79,95,13.15,ID,2023-02-06 10:52:48
188,tezu,27.9167,96.1667,70.74,37,4,1.43,IN,2023-02-06 10:52:49
189,mackay,-21.15,149.2,81.16,85,21,11.99,AU,2023-02-06 10:52:49
190,chagoda,59.164,35.3285,20.32,90,69,4.43,RU,2023-02-06 10:52:50
191,canto do buriti,-8.11,-42.9444,80.47,50,97,3.24,BR,2023-02-06 10:52:12
192,laguna,38.421,-121.4238,42.31,93,0,3.44,US,2023-02-06 10:52:50
193,amuntai,-2.4177,115.2494,79.2,77,96,1.43,ID,2023-02-06 10:52:50
194,waipawa,-41.4122,175.5153,56.37,88,0,4.38,NZ,2023-02-06 10:52:51
195,srednekolymsk,67.45,153.6833,-25.67,98,100,6.98,RU,2023-02-06 10:52:51
196,nyamati,14.15,75.5833,90.81,20,99,5.7,IN,2023-02-06 10:52:51
197,camana,-16.6228,-72.7111,74.43,87,99,3.49,PE,2023-02-06 10:52:52
198,tetouan,35.5711,-5.3724,59.77,72,20,4.61,MA,2023-02-06 10:52:52
199,pangnirtung,66.1451,-65.7125,-35.81,95,99,4.79,CA,2023-02-06 10:52:53
200,maldonado,-34.6667,-54.9167,65.59,59,24,4.52,UY,2023-02-06 10:52:53
201,kurchum,48.5722,83.6542,19.45,97,98,2.44,KZ,2023-02-06 10:52:53
